,choice0,choice1,choice2,choice3,answer,diff
0,abate,route,out,doubt,0,3.35
1,sauce,loss,cross,accresce,3,4.836666666666666
2,contract,impact,abstract,irked,3,5.28
3,octave,attractive,proactive,interactive,0,5.083333333333334
4,productivity,creativity,activator,proclivity,2,5.846666666666667
5,sad,bad,aid,pad,2,3.1300000000000003
6,off-road,blade,trade,aid,0,5.033333333333332
7,laughter,thereafter,efta,rafter,2,6.280000000000001
8,train,plane,vein,agone,3,4.903333333333333
9,sage,engage,gauge,edge,3,4.36
10,go,blow,ego,show,2,2.2833333333333328
11,agra,tree,sea,be,0,2.8666666666666667
12,bear,ear,care,flare,1,3.17
13,oil,ball,call,fall,0,2.4566666666666666
14,elain,bone,stone,zone,0,4.86
15,long,ailing,wrong,strong,1,2.8866666666666667
16,eddy,ready,irido,steady,2,4.943333333333333
17,program,aim,ram,lamb,1,3.66
18,ament,mount,count,account,0,4.21
19,can,plan,on,man,2,1.0333333333333332
20,stunned,end,refund,fund,1,3.8699999999999997
21,ensue,dancer,cancer,necromancer,0,4.8066666666666675
22,many,plenty,penny,honor,3,2.8600000000000008
23,any one,run,one,gun,0,3.5833333333333335
24,bring,cling,unearthing,ring,2,4.72
25,tear,gear,au pair,clear,2,4.733333333333333
26,chapel,appeal,grapple,pineapple,1,4.71
27,car,air,bar,star,1,2.453333333333333
28,feria,aria,malaria,hysteria,1,5.543333333333333
29,charm,farm,orme,alarm,2,4.956666666666667
30,barmy,carmi,armor,smarmy,2,5.95
31,round,iron,ground,down,1,2.5433333333333334
32,ae of,drive,dive,strive,0,5.153333333333333
33,smart,start,ort,heart,2,3.416666666666666
34,whereas,pizzazz,jazz,is,3,3.5700000000000003
35,bask,task,esque,mask,2,5.57
36,out,caveat,that,cat,0,2.4899999999999998
37,black,attic,track,back,1,2.6966666666666668
38,plant,grant,ant,shant,2,5.123333333333333
39,bottom,notum,item,dotcom,2,6.43
40,lay,aweigh,day,way,1,3.1399999999999992
41,nabi,crybaby,baba,maybe,2,5.026666666666666
42,hack,book,black,track,1,3.016666666666667
43,sad,pad,ad,bird,3,3.47
44,drag,bug,flag,tag,1,3.7000000000000006
45,bill,all,fall,call,0,1.8033333333333335
46,bunk,tank,rank,blank,0,4.03
47,bus,grace,case,face,0,2.5433333333333334
48,gasket,mascot,biscuit,casket,2,4.989999999999999
49,wrath,sociopath,birth,path,2,4.103333333333333
50,by,key,tree,sea,0,2.38
51,green,burn,machine,mean,1,2.53
52,flare,care,air,bar,3,2.926666666666667
53,read,lead,head,bird,3,2.506666666666667
54,bear,clear,tear,gear,0,3.1233333333333335
55,wave,grave,behoove,brave,2,4.153333333333333
56,door,by far,war,for,1,3.4600000000000004
57,spin,began,in,pin,1,2.7066666666666666
58,wind,bind,mind,by hand,3,4.66
59,ball,dwell,well,cell,0,2.7699999999999996
60,blow,go,bully,show,2,2.3033333333333332
61,base sides,abides,coincides,fides,0,6.676666666666667
62,rest,bust,test,manifest,1,3.3666666666666667
63,fetter,letter,setter,butter,3,4.796666666666667
64,green,bat one,mean,bean,1,4.413333333333333
65,dig,pig,bag,rig,2,3.4166666666666665
66,bid,bluebird,absurd,word,0,3.8466666666666662
67,earth,worth,dearth,bath,3,3.486666666666667
68,beat,it,shit,fit,0,1.6733333333333331
69,white,light,beat,right,2,1.9666666666666666
70,back,track,block,hack,2,2.9033333333333338
71,lead,read,breed,blood,3,2.8766666666666665
72,black,stock,rock,talk,0,2.5100000000000002
73,stud,flood,bleed,bud,2,4.13
74,know,go,blue,show,2,1.3366666666666667
75,into,to,through,blow,3,1.406666666666667
76,beard,record,accord,ward,0,3.9
77,coat,promote,beat,note,2,3.35
78,gaudy,embody,shoddy,buddy,3,4.953333333333333
79,oil,foil,spoil,ball,3,3.72
80,stone,tone,zone,bean,3,3.6133333333333333
81,hook,look,back,outlook,2,2.616666666666667
82,bordeaux,disorder,recorder,order,0,4.016666666666667
83,borne,corn,horn,borne,0,4.36
84,blow,show,berry,go,2,2.3766666666666665
85,sloth,bath,loath,growth,1,4.843333333333334
86,throttle,mottle,wattle,beetle,3,6.413333333333333
87,autumn,beteem,dotcom,notum,1,8.01
88,control,ball,hole,roll,1,2.78
89,equinox,paradox,fox,books,3,4.1499999999999995
90,be,deploy,joy,employ,0,3.32
91,avalanche,ranch,brunch,tranche,2,5.859999999999999
92,grave,breve,save,wave,1,4.093333333333334
93,lead,head,read,breed,3,2.7866666666666666
94,awake,cake,take,brake,3,2.883333333333333
95,brage,ridge,smidge,abridge,0,6.859999999999999
96,brat,light,right,bite,0,2.5333333333333337
97,brung,ring,cling,spring,0,5.043333333333333
98,other,breather,rather,another,1,2.766666666666667
99,down,town,brain,around,2,1.9833333333333332
100,brash,rush,flush,crush,0,4.263333333333333
101,guild,gild,bold,tilde,2,5.326666666666667
102,fern,turn,concern,bean,3,3.7100000000000004
103,thus,superfluous,plus,base,3,3.883333333333333
104,bozo,lizzie,dizzy,tizzy,0,4.8933333333333335
105,beat,that,cut,nut,0,2.0866666666666664
106,i,be,by,lie,1,0.8133333333333331
107,i,be,lie,fly,1,1.2133333333333332
108,take,break,awake,cock,3,2.5166666666666666
109,all,ball,cool,fall,2,1.9699999999999998
110,man,pan,keen,plan,2,2.893333333333333
111,kindle,handle,scandal,vandal,0,4.66
112,tap,shap,snap,keep,3,4.6499999999999995
113,care,avatar,bar,star,0,3.19
114,cord,hard,regard,guard,0,3.3699999999999997
115,bear,air,flare,car,3,2.953333333333333
116,carful,dareful,gerful,wareful,0,9.333333333333334
117,carlos,airless,hairless,fairless,0,6.206666666666667
118,curry,cherry,arbitrary,dictionary,0,4.489999999999999
119,base,grace,curse,face,2,2.9966666666666666
120,at,cut,that,caveat,1,2.31
121,scratch,patch,coach,match,2,3.4133333333333327
122,scientia,adventure he,penitentiary,adventurer he,0,8.263333333333334
123,satin,burton,uncertain,curtain,0,4.74
124,care,cheer,bear,air,1,2.69
125,dance,chinse,advance,enhance,1,5.056666666666667
126,face,case,grace,choice,3,2.5233333333333334
127,chip,keep,creep,sweep,0,3.3966666666666665
128,ease,disease,choose,freeze,2,3.3333333333333335
129,chicane,quicken,wiccan,stricken,0,6.816666666666667
130,idlewild,chilled,wild,mild,1,5.876666666666668
131,chauldron,stepchildren,schoolchildren,grandchildren,0,6.603333333333333
132,chocolat,chocolat,auklet,bockelet,0,9.333333333333334
133,voice,royce,chase,rejoice,2,3.98
134,abuse,muse,cheese,lose,2,3.6166666666666667
135,merkel,encircle,merkle,cycle,3,7.126666666666666
136,saute,committee,pretty,nitty,0,4.6066666666666665
137,pass,glass,close,grass,2,2.813333333333333
138,endeavour,however,endeavor,clover,3,4.749999999999999
139,mean,green,bean,clan,3,3.06
140,gear,tear,claire,peer,2,3.8400000000000003
141,time,claim,sublime,paradigm,1,3.6966666666666668
142,stock,clerk,block,rock,1,3.4433333333333334
143,froth,moth,kluth,swath,2,6.583333333333333
144,rose,nose,close,close,2,2.6366666666666663
145,doud,clad,shroud,proud,1,5.713333333333334
146,cloddy,audi,rowdy,dowdy,0,6.416666666666667
147,rose,nose,gross,class,3,3.1
148,naafi,tophi,toffee,cafe,3,7.05
149,boat,cat,note,promote,1,3.3000000000000003
150,groin,join,keen,enjoin,2,4.676666666666667
151,gold,threshold,called,hold,2,2.883333333333333
152,watercolor,color,muller,color,1,4.47
153,gloam,come,syndrome,home,1,3.9299999999999997
154,brahmin,aman,caiman,uncommon,2,5.366666666666667
155,care,bear,compere,air,2,3.47
156,from,overcome,become,calm,3,2.3866666666666667
157,browbeat,discrete,compleat,beat,2,6.159999999999999
158,compute a,router,neuter,tutor,0,6.513333333333333
159,contrail,roll,hole,troll,0,4.989999999999999
160,outlook,book,cake,look,2,2.8866666666666667
161,school,rule,pool,call,3,2.4099999999999997
162,copy,hopper,pauper,proper,0,4.126666666666666
163,borne,porn,horn,cairn,3,4.659999999999999
164,corny,warner,mourner,foreigner,0,4.9799999999999995
165,coact,effect,affect,respect,0,4.853333333333333
166,cast,lost,last,holocaust,0,2.9466666666666668
167,vein,canteen,plane,train,1,3.733333333333334
168,mount,paramount,account,current,3,3.9033333333333338
169,country e,contra,one tree,vintry,1,8.44
170,source,force,coarse,horse,2,3.496666666666666
171,hover,discover,recover,cava,3,5.53
172,crush,dash,cache,flash,0,4.306666666666667
173,across,crass,loss,sauce,1,3.8800000000000003
174,lie,crow,i,by,1,1.7933333333333332
175,cap,makeup,up,setup,0,3.1766666666666663
176,scrubbird,hubbard,blubbered,cowbird,3,8.540000000000001
177,nut,that,cat,but,2,1.76
178,chance,enhance,dense,advance,2,3.853333333333333
179,park,mark,arc,darke,3,4.94
180,data,mater,imprimatur,water,0,4.94
181,do,away,way,lay,0,1.4966666666666668
182,read,lead,head,doud,3,4.0633333333333335
183,abide,side,decede,backslide,2,5.863333333333333
184,creep,dip,keep,sweep,1,3.526666666666667
185,gear,clear,door,tear,2,2.896666666666667
186,friend,deepened,bend,end,1,4.236666666666667
187,disk,burlesque,grotesque,esque,0,6.273333333333333
188,employ,distro,deploy,boy,1,5.196666666666666
189,lie,by,i,day,3,1.0766666666666664
190,inner,spinner,deny,printer,2,4.49
191,data,bertie,shirty,flirty,0,5.489999999999999
192,dash,fish,catfish,wish,0,3.563333333333334
193,through,blue,day,to,2,1.3633333333333335
194,dig,frog,demagogue,log,0,4.45
195,store,dire,for,war,1,2.5500000000000003
196,bubble,dabble,trouble,rubble,1,4.27
197,brown,town,around,dawn,3,2.6766666666666663
198,withdraw,dry,saw,law,1,2.9133333333333327
199,deam,beam,daydream,drum,3,5.696666666666666
200,process,address,access,dross,3,4.1033333333333335
201,drunk,link,sink,think,0,2.7866666666666666
202,live,strive,dive,drove,3,3.53
203,stop,drip,shop,top,1,2.8366666666666664
204,draw,lie,i,by,0,1.5199999999999998
205,deck,fuck,buck,truck,0,3.013333333333333
206,durst,bust,thrust,trust,0,4.163333333333333
207,data,booty,beauty,tutti,0,4.113333333333333
208,h,breach,reach,speech,0,4.986666666666667
209,hear,tier,air,here,2,2.556666666666666
210,burly,pearly,ally,surly,2,5.34
211,turn,burn,concern,on,3,2.2133333333333334
212,dearth,worth,oath,birth,2,3.866666666666667
213,oust,least,feast,beast,0,4.033333333333333
214,cheesy,sleazy,uzi,queasy,2,5.16
215,browbeat,discrete,out,beat,2,3.9933333333333327
216,project,respect,affect,affect,2,3.42
217,peg,leg,ag,segue,2,4.8999999999999995
218,rate,state,out,date,2,2.3466666666666667
219,breather,neither,other,lither,2,4.71
220,electrique,piezoelectric,photoelectric,hydroelectric,0,8.61
221,attempt he,contempt he,m t,emptor,3,8.756666666666666
222,friend,bend,and,lend,2,2.2600000000000002
223,anima,xenomi,mcmenamy,archenemy,0,7.746666666666667
224,deploy,employ,boy,injure,3,4.17
225,tough,on-off,stuff,buff,1,4.763333333333334
226,center,into,mentor,centre,1,3.2300000000000004
227,e quel,sequel,unequal,sequal,0,7.419999999999999
228,icecap,landscape,shape,tape,0,4.366666666666667
229,avant,accent,content,present,0,4.946666666666666
230,endeavour,however,endeavor,over,3,3.8033333333333332
231,devry,vanevery,reverie,oeuvre,3,7.756666666666668
232,act,abstract,exect,impact,2,5.126666666666666
233,adept,accept,excerpt,precept,2,5.306666666666667
234,unrequited,delighted,exserted,benighted,2,6.486666666666667
235,arise,analyze,accesses,rise,2,3.97
236,comprehensive,apprehensive,expansive,extensive,2,5.443333333333334
237,by,i,lie,a,3,0.6333333333333332
238,grace,case,base,fuss,3,3.1533333333333338
239,impact,act,fucked,abstract,2,5.126666666666666
240,fall,scale,pale,rail,0,3.7066666666666666
241,all,ball,call,file,3,1.9333333333333333
242,lafalce,haulse,waltz,folse,3,8.136666666666667
243,bramley,multifamily,amalie,firmly,3,8.15
244,for,bar,star,car,0,1.8766666666666667
245,alarm,charm,arm,form,3,3.293333333333333
246,further,grandfather,bother,godfather,0,3.3666666666666667
247,broadcast,first,cast,forecast,1,3.4299999999999997
248,caveat,cat,fit,at,2,3.28
249,salt,vault,felt,default,2,3.8366666666666664
250,gear,for,tear,clear,1,2.4533333333333336
251,food,lead,read,breed,0,2.8833333333333333
252,appeal,fall,seal,deal,1,3.1199999999999997
253,pale,rail,scale,famille,3,4.803333333333334
254,lever,receiver,beaver,favor,3,4.26
255,phew,to,through,blue,0,2.2166666666666672
256,fit,right,bite,light,0,2.2866666666666666
257,mill,fall,bill,will,1,2.54
258,wind,fund,bind,mind,1,3.316666666666667
259,line,design,sign,fun,3,2.6533333333333338
260,refinish,diminish,furnish,finnish,2,5.63
261,wire,for,dire,inspire,1,3.3066666666666666
262,burst,worst,versed,fast,3,3.7466666666666666
263,wish,phish,dish,catfish,1,5.1000000000000005
264,hit,it,foot,shit,2,1.5633333333333332
265,drive,dive,fave,strive,2,5.153333333333333
266,mix,six,fox,politics,2,3.3033333333333332
267,drag,tag,bag,flog,3,3.9233333333333333
268,float,caveat,cat,at,0,3.5733333333333337
269,flat,boat,note,coat,0,3.1233333333333335
270,door,for,flare,war,2,2.286666666666667
271,hour,flower,power,flare,3,3.1999999999999997
272,hour,power,empower,flyer,3,3.853333333333333
273,lie,by,i,flee,3,1.7533333333333332
274,field,threshold,hold,gold,0,3.1366666666666667
275,gratitude,feed,preclude,attitude,1,4.32
276,rule,fall,school,pool,1,2.683333333333333
277,output,fit,put,input,1,3.5866666666666664
278,war,store,fire,door,2,2.35
279,fierce,source,horse,course,0,3.073333333333333
280,sarin,loren,warren,ferine,3,6.153333333333333
281,rainforest,forrest,forrest,florist,1,5.353333333333333
282,get,faggot,set,bet,1,2.3033333333333332
283,give,live,forgave,sieve,2,3.396666666666667
284,inform,farm,storm,platform,1,3.5900000000000003
285,equinox,box,paradox,fix,3,4.026666666666667
286,door,war,for,for,2,1.1800000000000004
287,sea,tree,be,fray,3,2.91
288,needham,freed him,schiedam,edam,1,8.726666666666667
289,cheese,disease,phrase,ease,2,3.65
290,mesh,flesh,refresh,frosh,3,5.1066666666666665
291,end,lend,frond,bend,2,4.6866666666666665
292,penley,unfriendly,friend lee,henley,2,7.44
293,come,frame,term,become,1,2.5500000000000003
294,attribute,suit,fret,moot,2,4.786666666666666
295,wool,fall,pull,bull,1,3.2899999999999996
296,gun,run,one,fern,3,2.5433333333333334
297,sunny,honey,money,phony,3,3.0133333333333336
298,name,gum,frame,claim,1,3.223333333333333
299,harden,gordon,arden,pardon,1,4.616666666666666
300,get,date,rate,state,0,2.316666666666667
301,snydergeneral,generale,penril,teneral,1,9.333333333333334
302,set,gate,offset,bet,1,3.3866666666666667
303,drift,shift,lift,goofed,3,5.093333333333333
304,sieve,gov,forgive,live,1,4.076666666666667
305,sad,pad,glide,bad,2,3.4666666666666663
306,gloss,class,grass,pass,0,3.4899999999999998
307,blow,know,show,gay,3,1.9433333333333331
308,boat,coat,note,get,3,2.466666666666667
309,pod,facade,rod,good,3,3.5833333333333335
310,hold,guild,cold,threshold,1,3.5400000000000005
311,wood,forbid,bid,god,3,3.2266666666666666
312,i,good-bye,by,lie,1,3.06
313,class,pass,grace,glass,2,2.8033333333333332
314,brave,wave,groove,save,2,3.426666666666667
315,rate,state,grit,date,2,3.4966666666666666
316,grain,machine,mean,bean,0,3.146666666666667
317,day,grey,way,away,1,2.0033333333333334
318,sound,round,grind,around,2,2.823333333333333
319,grip,loop,soup,scoop,0,4.04
320,go,grey,blow,show,1,2.2466666666666666
321,run,one,fun,gain,3,2.143333333333333
322,care,hear,bear,air,1,2.23
323,chaff,staff,laugh,huff,3,4.376666666666667
324,ball,all,hole,call,2,1.8766666666666667
325,homo,clamor,glamour,grammar,0,5.146666666666667
326,hound,band,land,stand,0,3.1200000000000006
327,lapin,misshapen,rappen,heppen,3,7.94
328,hyper,nappy,snappy,scrappy,0,6.343333333333334
329,guard,card,regard,hoard,3,3.953333333333333
330,cat,caveat,hit,at,2,3.06
331,state,date,rate,hit,3,2.7099999999999995
332,heave,nav,halve,calve,0,6.52
333,hi,tree,be,sea,0,1.9166666666666667
334,lead,hide,read,red,1,2.5466666666666664
335,ear,tier,here,hair,3,2.936666666666666
336,hover,bevy,levy,levee,0,5.95
337,art,start,smart,hart,3,3.0566666666666666
338,haven,seven,leaven,levin,0,4.946666666666666
339,light,hit,right,bite,1,2.066666666666667
340,show,hollow,blow,go,1,2.353333333333333
341,hone,again,then,pen,0,2.8633333333333333
342,hi,confer,defer,infer,0,4.683333333333334
343,hear,tier,hear,ear,0,3.0933333333333333
344,yours,spurs,years,whose,3,2.93
345,abide,side,backslide,head,3,4.010000000000001
346,lie,by,i,hi,3,1.1533333333333333
347,bill,will,mill,hole,3,2.65
348,synonym,grim,swim,home,3,3.8799999999999994
349,ms,riz,whose,is,2,3.9933333333333323
350,hat,shit,fit,it,0,1.8533333333333333
351,kohlrabi,hobo,lobby,cobby,1,7.0200000000000005
352,held,threshold,gold,cold,0,3.33
353,control,hail,roll,troll,1,3.456666666666667
354,way,halliday,away,day,1,3.35
355,comb,gloam,ham,syndrome,2,5.493333333333333
356,hop,scope,trope,dope,0,5.3566666666666665
357,force,source,hoarse,course,2,3.3966666666666665
358,trot,shot,hit,lot,2,2.796666666666667
359,cell,hurtle,dwell,well,1,3.69
360,louse,mouse,hiss,espouse,2,5.933333333333334
361,now,sow,hi,bow,2,2.66
362,plundered,wondered,handed,sundered,2,6.976666666666667
363,power,air,empower,flower,1,3.51
364,curry,hire,worry,flurry,1,3.9133333333333336
365,desert,dessert,revert,hit,3,3.766666666666667
366,fly,lie,a,by,2,1.503333333333333
367,advice,nice,device,ass,3,2.686666666666667
368,panacea,stria,diarrhea,audio,3,5.613333333333333
369,stiff,riff,off,whiff,2,3.893333333333333
370,begin,pin,on,spin,2,2.723333333333333
371,peace,release,piece,encrease,3,4.45
372,backslide,side,ensued,abide,2,4.986666666666667
373,blue,to,ante,through,2,2.2900000000000005
374,gridiron,around,scrapiron,andiron,1,6.636666666666667
375,invert,light,right,bite,0,3.1233333333333335
376,as,riz,ms,quiz,0,4.616666666666667
377,hyland,weiland,eland,highland,2,7.706666666666667
378,out,shit,hit,fit,0,1.8466666666666667
379,glitz,wits,oats,blitz,2,5.663333333333333
380,deli,jolly,belly,tele,1,4.673333333333334
381,cob,jibe,mob,bob,1,4.743333333333334
382,groin,enjoin,coin,john,3,4.536666666666666
383,obtuse,use,loose,jess,3,3.7733333333333334
384,bust,gist,trust,list,1,3.6333333333333333
385,creep,sweep,sleep,cap,3,3.5
386,be,cow,tree,sea,1,2.316666666666667
387,bill,call,mill,will,1,2.266666666666667
388,canned,bind,mind,wind,0,3.4966666666666675
389,bring,cling,ring,kong,3,4.72
390,pitch in,pichon,kuchen,kitchin,2,9.333333333333334
391,sea,tree,be,know,3,1.5866666666666667
392,strife,life,rife,naff,3,5.403333333333333
393,block,stock,neck,rock,2,3.14
394,show,blow,go,new,3,1.6466666666666665
395,adder,bladder,leader,madder,2,4.886666666666667
396,leader,brady,caddie,shady,0,4.566666666666666
397,stamp,camp,lump,ramp,2,4.126666666666666
398,lend,band,stand,hand,0,2.706666666666667
399,barge,discharge,lorge,charge,2,5.296666666666666
400,pass,list,grass,cast,1,3.1366666666666667
401,lot,state,date,rate,0,2.61
402,innately,greatly,stately,littler,3,5.843333333333334
403,half,chaff,staff,life,3,3.2433333333333336
404,slazy,laser,crazy,daisy,1,4.890000000000001
405,led,breed,head,read,0,2.9466666666666668
406,brief,life,relief,motif,1,3.6833333333333336
407,line,burn,turn,concern,0,2.7399999999999998
408,perceive,naive,love,retrieve,2,3.643333333333334
409,peg,league,segue,egg,1,4.553333333333334
410,heft,deft,lift,bereft,2,5.503333333333333
411,bend,friend,land,end,2,2.5533333333333332
412,address,loose,process,access,1,3.2733333333333334
413,lessen,caisson,delicatessen,listen,3,5.69
414,set,get,bet,lot,3,1.7633333333333334
415,latter,setter,fetter,better,0,4.796666666666666
416,library e,cherry,dictionary,arbitrary,0,5.739999999999999
417,fly,law,by,i,1,1.39
418,leaf,knife,rife,strife,0,4.5
419,white,lot,bite,right,1,1.9866666666666666
420,bike,spike,strike,look,3,2.9266666666666663
421,orion,scion,leon,ion,2,5.2700000000000005
422,ship,trip,loop,strip,2,3.4500000000000006
423,last,just,twist,gist,0,2.9233333333333333
424,glisten,lesson,bisson,christen,1,6.140000000000001
425,hospital,belittle,litle,brittle,2,5.71
426,give,drive,love,dive,2,2.1766666666666667
427,look,block,rock,stock,0,2.6133333333333337
428,pronely,leanly,onely,only,1,7.303333333333334
429,strong,wrong,lung,along,2,2.683333333333333
430,hook,like,outlook,book,1,2.8533333333333335
431,choose,muse,abuse,lies,3,3.5533333333333332
432,light,shot,spot,trot,0,3.1766666666666663
433,above,leave,dove,of,1,2.236666666666667
434,lie,show,blow,go,0,1.8899999999999997
435,blower,mower,whistleblower,layer,3,6.033333333333334
436,fuck,look,duck,truck,1,2.27
437,bean,motion,mean,green,1,3.0066666666666664
438,train,vein,plane,man,3,2.8300000000000005
439,awake,mock,take,break,1,2.7433333333333336
440,mill,pale,scale,rail,0,4.103333333333333
441,mean,pan,can,plan,0,1.9999999999999998
442,money,any,plenty,penny,0,2.41
443,cap,shap,snap,mop,3,5.363333333333332
444,marc,dark,park,arc,0,3.5700000000000003
445,aftermarket,supermarket,meerkat,upmarket,2,6.026666666666666
446,mirror,dictionary,arbitrary,cherry,0,4.253333333333333
447,latter,batter,meta,scatter,2,5.116666666666666
448,me,day,way,away,0,1.0266666666666666
449,be,mow,sea,tree,1,2.7099999999999995
