,choice0,choice1,choice2,choice3,answer,diff
450,seal,mill,appeal,deal,1,3.516666666666667
451,green,machine,man,bean,2,2.7266666666666666
452,leisure,mosher,pleasure,treasure,1,5.106666666666666
453,meet,beat,browbeat,discrete,0,4.31
454,telemedicine,edison,madison,thomas edison,2,7.010000000000001
455,browbeat,moot,beat,discrete,1,5.223333333333333
456,ember,september,mambo,remember,2,4.093333333333334
457,extension,attention,convention,moonshine,3,4.136666666666667
458,riddle,piddle,model,fiddle,2,4.753333333333333
459,bilk,ilk,silk,milke,3,6.583333333333333
460,billion,mullion,pavilion,vermilion,1,5.333333333333333
461,mend,bind,find,wind,0,3.3900000000000006
462,attribute,minit,moot,suit,1,5.8566666666666665
463,abyss,mass,bliss,this,1,3.143333333333333
464,awake,mystic,take,break,1,2.8333333333333335
465,politics,fix,six,max,3,2.9299999999999997
466,waddle,muddle,coddle,dawdle,1,6.026666666666667
467,postmodern,premodern,maiden,ultramodern,2,6.593333333333334
468,romant,rome mint,comint,me meant,3,8.799999999999999
469,funny,sunny,honey,minor,3,3.0333333333333337
470,funky,spunky,manky,flunky,2,5.563333333333333
471,tune,impugn,boon,man,3,4.046666666666667
472,war,for,mere,door,2,2.1333333333333333
473,mourning,mourning,warning,corning,0,4.773333333333333
474,host,close,post,mass,3,3.1699999999999995
475,other,rather,another,mather,3,3.0833333333333335
476,intermountain,soda fountain,fountain,maintain,3,6.69
477,south,louth,moth,drouth,2,6.603333333333333
478,prove,mauve,groove,improve,1,4.366666666666666
479,clutch,touch,such,match,3,2.9766666666666666
480,muzak,cusick,muzik,cusack,0,8.61
481,trust,thrust,bust,mist,3,3.813333333333333
482,i,by,me,lie,2,0.7366666666666667
483,gnome,game,claim,frame,0,3.7833333333333328
484,marrow,harrow,camaro,nary,3,6.496666666666667
485,information,notion,communication,operation,1,3.52
486,nurture,nomenclature,denature,legislature,0,6.633333333333333
487,noir,gear,clear,tear,0,3.5933333333333337
488,merely,sincerely,gnarly,clearly,2,4.239999999999999
489,check,nick,tech,deck,1,3.263333333333333
490,breed,lead,read,node,3,3.7399999999999998
491,noodle,wheedle,treadle,beadle,0,6.87
492,neighbor,labour,labor,neighbor,0,3.876666666666667
493,either,lither,breather,nother,3,6.55
494,get,set,note,bet,2,2.1266666666666665
495,endeavour,endeavor,nova,however,2,4.656666666666666
496,know,through,to,blue,0,1.1100000000000003
497,choose,nose,abuse,lose,1,3.043333333333333
498,complex,vex,nix,sex,2,4.489999999999999
499,nurse,ice,advice,piece,0,2.9599999999999995
500,bite,right,light,note,3,2.33
501,noun,design,sign,line,0,3.486666666666667
502,know,go,show,blow,0,1.3566666666666665
503,nubile,ignoble,global,mobile,0,4.92
504,poise,nose,illinois,boys,1,3.8733333333333335
505,run,one,noun,gun,2,2.6333333333333333
506,near,door,war,for,0,1.8066666666666669
507,impose,close,news,rose,2,3.103333333333333
508,note,lot,shot,trot,0,3.06
509,the thing,pithing,smithing,know thing,3,9.333333333333334
510,scotus,notus,lotus,potus,1,7.453333333333333
511,cow,sow,know,bow,2,2.9800000000000004
512,lumber,umber,nimbi,slumber,2,6.526666666666666
513,day,away,abba,way,2,2.256666666666667
514,respect,effect,abject,affect,2,4.006666666666667
515,motion,emotion,ashen,notion,2,4.486666666666667
516,dove,above,love,oeuvre,3,3.7099999999999995
517,trough,if,cough,scoff,1,4.006666666666667
518,iffy,coffer,proffer,doffer,0,7.103333333333334
519,efface,interoffice,off us,tophus,0,8.6
520,boffin,soften,affine,coffin,2,6.293333333333333
521,spoil,foil,all,soil,2,3.3433333333333337
522,auld,hold,threshold,gold,0,3.783333333333333
523,upon,in,phenomenon,liaison,1,3.026666666666667
524,run,win,fun,gun,1,2.2466666666666666
525,lonely,pronely,inlay,onely,2,7.226666666666667
526,wopen,reopen,upon,propugn,2,6.673333333333333
527,door,air,war,for,1,1.7566666666666668
528,disorder,recorder,border,ardor,3,4.676666666666667
529,rather,either,mother,another,1,2.106666666666667
530,array,hour,flower,power,0,3.306666666666666
531,it,doubt,about,route,0,1.7166666666666668
532,clover,turnover,moreover,aver,3,5.32
533,bone,zone,on,stone,2,2.5933333333333333
534,gauge,purge,engage,age,1,4.239999999999999
535,vein,pine,plane,train,1,3.6300000000000003
536,quaint,point,faint,constraint,1,4.42
537,peer,care,air,bear,0,2.956666666666667
538,pine,man,plan,can,0,2.026666666666667
539,vapor,taper,caper,pepper,3,5.329999999999999
540,inherent,parrent,errant,apparent,1,6.316666666666666
541,arc,dark,pork,mark,2,3.5133333333333336
542,port,art,heart,smart,0,2.85
543,portnoy,copartner,kindergartner,gartner,0,8.799999999999999
544,arty,hearty,darty,porter,3,6.05
545,glass,piece,grass,class,1,2.8966666666666665
546,cast,forecast,post,broadcast,2,3.89
547,sociopath,bath,pith,wrath,2,4.963333333333334
548,away,day,pie,way,2,1.9000000000000001
549,piece,increase,pass,release,2,3.033333333333333
550,then,hen,pine,again,2,2.8066666666666666
551,tensile,stencil,pensile,ensile,2,7.859999999999999
552,steeple,creeple,purple,sheeple,2,7.146666666666666
553,hepper,paper,leper,stepper,1,5.9433333333333325
554,defer,confer,pie,infer,2,5.140000000000001
555,layperson,pass on,worsen,chairperson,1,7.129999999999999
556,sweat roll,patrol,internet role,set role,1,7.97
557,santa,nano,banana,peony,3,5.603333333333333
558,stick,sic,pack,trick,2,3.65
559,release,increase,peace,pass,3,3.0700000000000003
560,dig,peg,big,rig,1,3.5866666666666664
561,in,pine,spin,begin,1,2.7433333333333336
562,think,drink,punk,sink,2,2.53
563,face,grace,plus,case,2,2.6366666666666667
564,plan,vein,train,fein,0,4.803333333333334
565,plaint,cant,ant,grant,0,4.773333333333333
566,bombastic,fantastic,plastique,enthusiastic,2,5.13
567,state,plot,date,rate,1,3.1666666666666665
568,away,way,plea,day,2,2.1333333333333333
569,plies,disease,ease,cheese,0,4.323333333333333
570,any,many,penny,planar,3,4.010000000000001
571,socket,rocket,packet,docket,2,4.82
572,pinpoint,joint,anoint,paint,3,4.476666666666667
573,boyes in,alloys in,pisan,boys in,2,9.333333333333334
574,peace,increase,piece,palace,3,3.146666666666667
575,pilot,right,bite,light,0,2.4200000000000004
576,rule,cool,pale,school,2,2.8166666666666664
577,grandeur,raconteur,peer,voyeur,2,5.516666666666667
578,possession,commission,disposition,condition,0,4.026666666666666
579,docible,rosabelle,passable,impossible,2,6.876666666666666
580,show,go,patootie,blow,2,3.5933333333333333
581,door,peer,war,for,1,2.2900000000000005
582,hour,empower,flower,payee,3,4.583333333333333
583,peasant,content,event,accent,0,3.883333333333334
584,address,price,access,process,1,3.186666666666666
585,proto,committee,city,nitty,0,4.583333333333334
586,content,present,provent,event,2,4.863333333333333
587,ice,advice,device,press,3,3.17
588,since,prance,evince,convince,1,5.2
589,risen,arisen,imprison,proxene,3,6.243333333333333
590,arrive it,privet,alive it,archive it,1,8.700000000000001
591,rise,analyze,praise,arise,2,4.05
592,loose,obtuse,prayed us,use,2,5.13
593,pomace,premise,thomas,squamous,1,6.84
594,pauper,prepay,hopper,copper,1,5.176666666666667
595,nonpublic,republic,pub lick,niblick,2,7.330000000000001
596,bull,full,pool,wool,2,3.4066666666666663
597,thinnish,dunnish,tonnish,panache,3,8.576666666666666
598,hoople,scruple,pew poll,quadruple,2,7.776666666666667
599,posh,bush,ambush,tush,0,4.5600000000000005
600,input,foot,pit,output,2,4.17
601,bean,mean,quoin,green,2,4.413333333333333
602,stick,quirk,trick,sic,1,4.326666666666667
603,disquiet,riot,quo it,diet,2,5.94
604,right,light,quit,bite,2,2.2333333333333334
605,rodeo,blow,go,show,0,2.473333333333333
606,run,vein,plane,train,0,3.06
607,miscellany,seine,zany,runner,3,5.743333333333333
608,rise,praise,phrase,phase,0,3.823333333333333
609,rich,speech,teach,breach,0,3.3066666666666666
610,lead,red,head,breed,1,2.85
611,steady,eddy,rider,already,2,3.69
612,appeal,seal,roll,deal,2,3.24
613,chili,relay,silly,lily,1,3.9600000000000004
614,retrieve,leave,naive,race of,3,4.84
615,board,ward,accord,recurred,3,5.303333333333334
616,read,read,head,lead,0,2.276666666666667
617,remand,bind,mind,wind,0,3.676666666666667
618,event,present,rant,content,2,3.9066666666666667
619,rapport,air,bear,care,0,3.176666666666667
620,beat,discrete,rupert,browbeat,2,5.066666666666666
621,by,i,lie,replay,3,2.0366666666666666
622,test,roast,manifest,best,1,3.3766666666666665
623,want,restraint,savant,shant,1,5.223333333333334
624,turn,burn,concern,retain,3,3.373333333333333
625,device,advice,ice,race,3,3.1799999999999997
626,switch,pitch,reach,niche,2,3.856666666666667
627,read,backslide,side,abide,0,4.076666666666667
628,rate,light,white,bite,0,2.8299999999999996
629,wring,bring,spring,cling,0,3.81
630,rose,advise,analyze,arise,0,4.076666666666666
631,node,read,code,mode,1,3.873333333333333
632,job,bob,cob,rub,3,3.5666666666666664
633,stock,rack,talk,block,1,3.143333333333333
634,rhyme,resume,assume,presume,0,4.216666666666667
635,ground,rind,sound,around,1,3.2566666666666664
636,ruby,lubber,grubber,blubber,0,5.723333333333333
637,preclude,read,attitude,food,1,3.61
638,school,cool,pool,roll,3,2.5933333333333333
639,relay,mueller,cooler,jeweler,0,5.0200000000000005
640,rain,gun,fun,one,0,2.0533333333333337
641,flush,brush,rash,crush,2,4.013333333333333
642,bad,ad,side,pad,2,2.9899999999999998
643,strafe,rafe,chafe,saif,3,7.933333333333334
644,pale,rail,scale,cell,3,3.7833333333333337
645,fault,silt,default,vault,1,4.33
646,sum,game,name,frame,0,2.883333333333333
647,stand,land,hand,sound,3,2.346666666666667
648,wave,brave,serve,grave,2,3.3033333333333332
649,day,away,way,sea,3,1.7
650,scale,cool,pool,rule,0,3.086666666666666
651,alliance,seance,appliance,compliance,1,5.296666666666667
652,perch,such,research,church,1,3.2600000000000002
653,discrete,set,beat,browbeat,1,4.386666666666666
654,reckon,secund,secund,beckon,1,7.1499999999999995
655,sea,be,tree,sea,0,2.1733333333333333
656,sum,beam,dream,deam,0,4.953333333333333
657,cell,dwell,cell,well,0,2.81
658,end,friend,bend,sound,3,2.526666666666667
659,reserve,curve,nerve,save,3,3.633333333333334
660,heaven,leaven,severn,levin,2,6.213333333333334
661,however ill,surveyal,never ill,ever ill,1,9.333333333333334
662,complex,flex,six,vex,2,4.376666666666666
663,shed,aid,blade,trade,0,3.6533333333333338
664,blow,go,show,shudder,3,2.61
665,shock,break,take,awake,0,2.493333333333333
666,landscape,shop,tape,escape,1,3.2866666666666666
667,care,air,bear,sheer,3,2.9
668,tarp,sharpe,harp,carp,1,6.28
669,sea,show,be,tree,1,1.9266666666666665
670,keep,shop,sweep,creep,1,3.1566666666666667
671,shot,discrete,beat,browbeat,0,4.406666666666666
672,elf,shilf,oneself,self,1,5.2733333333333325
673,sign,line,design,shun,3,3.3633333333333333
674,trip,strip,shop,slip,2,3.24
675,hurt,dessert,desert,shot,3,2.9633333333333334
676,blue,through,to,show,3,1.4500000000000002
677,moot,shot,suit,attribute,1,4.103333333333333
678,drop,stop,top,shap,3,3.9466666666666668
679,court,shortt,support,report,1,4.44
680,hood,shed,wood,good,1,2.9399999999999995
681,boulder,stakeholder,holder,shielder,3,7.109999999999999
682,route,out,about,shot,3,1.8133333333333335
683,blow,shy,know,go,1,1.78
684,trick,stick,sic,seek,3,3.72
685,abide,backslide,sad,provide,2,4.56
686,silo,chili,really,lily,0,3.6599999999999997
687,quiksilver,salvo,sil ver,quicksilver,1,7.603333333333334
688,kimler,simile,simler,dissimilar,1,7.91
689,gimpel,dimple,pimple,sample,3,6.090000000000001
690,singel,shingle,ingle,mingle,0,7.43
691,convince,evince,sense,wince,2,5.446666666666666
692,cling,bring,song,ring,2,3.0233333333333334
693,link,think,drink,sync,3,2.7699999999999996
694,mr,blister,transistor,cesta,3,5.733333333333333
695,it,set,fit,shit,1,1.6166666666666665
696,mix,fix,politics,sex,3,3.1
697,arise,analyze,rise,seize,3,4.176666666666667
698,mill,will,school,bill,2,2.3866666666666667
699,begin,pin,in,scan,3,2.7433333333333336
700,dessert,scout,hurt,desert,1,3.393333333333333
701,ski,lie,by,i,0,1.7666666666666666
702,keep,sweep,creep,slip,3,3.356666666666667
703,trip,ship,sleep,strip,2,2.856666666666667
704,go,slay,show,blow,1,2.453333333333333
705,smell,ball,all,call,0,1.8166666666666667
706,well,dwell,cell,small,3,2.686666666666666
707,style,file,trial,small,3,2.983333333333333
708,stroke,invoke,smirk,oak,2,4.816666666666666
709,blow,snee,go,show,1,3.5933333333333324
710,blow,go,sea,show,2,1.9433333333333331
711,scope,sap,hope,trope,1,5.253333333333333
712,block,rock,seek,stock,2,3.223333333333333
713,sift,loft,aloft,waft,0,5.6066666666666665
714,from,sum,come,become,1,1.9133333333333333
715,thirtysomething,dumb thing,some thing,twentysomething,2,9.333333333333334
716,sign,run,one,gun,0,1.8833333333333335
717,boon,tune,sign,moon,2,3.453333333333333
718,sari,chary,sorrow,safari,2,5.699999999999999
719,send,around,round,ground,0,2.38
720,group,scoop,sap,loop,2,4.1433333333333335
721,saith,mouth,louth,drouth,0,6.94
722,spouse,case,face,grace,0,3.0766666666666667
723,seek,fleek,spike,unique,2,5.153333333333333
724,aecial,especial,meshell,spatial,3,7.6000000000000005
725,read,lead,breed,spade,3,3.526666666666667
726,well,cell,dwell,spoil,3,3.0833333333333335
727,spurned,friend,bend,end,0,3.39
728,spin,moon,tune,boon,0,3.776666666666667
729,court,support,spirt,short,2,4.433333333333334
730,sprayed,lead,head,read,0,4.0633333333333335
731,cling,ring,sprung,bring,2,3.6366666666666667
732,squire,air,care,bear,0,3.0500000000000003
733,ramp,lamp,stump,camp,2,4.203333333333333
734,land,hand,stunned,band,2,3.056666666666667
735,avatar,bar,car,store,3,3.2133333333333334
736,art,smart,stuart,heart,2,2.9266666666666663
737,information,communication,stash in,operation,2,4.783333333333333
738,stir,way,away,day,0,2.08
739,appeal,seal,deal,style,3,3.27
740,deam,dream,beam,stem,3,5.166666666666667
741,rep,schlep,stop,prep,2,4.2
742,bill,mill,will,style,3,2.69
743,stimac,limbic,hummock,humic,0,8.61
744,bone,tone,zone,stern,3,3.81
745,top,step,drop,shop,1,2.62
746,door,for,war,star,3,1.8133333333333335
747,aleatory,inventory,allegory,storey,3,6.239999999999999
748,beat,straight,discrete,browbeat,1,4.463333333333333
749,long,string,along,wrong,1,2.3866666666666663
750,stricture,infrastructure,superstructure,ducture,0,6.8999999999999995
751,buddy,ruddy,bloody,steady,3,3.766666666666666
752,group id,stoppered,workgroup id,cupid,1,8.236666666666666
753,touch,search,much,clutch,1,2.8366666666666673
754,swidden,midden,chidden,sedan,3,7.696666666666668
755,inscrutable,immutable,citable,mutable,2,7.086666666666667
756,semi,hummer,bummer,plumber,0,4.716666666666666
757,sign,gun,one,run,0,1.8833333333333335
758,center,honey,funny,money,0,2.296666666666667
759,seaport,court,short,report,0,3.5933333333333337
760,sheer,entrepreneur,obscure,ensure,0,4.613333333333333
761,arise,rise,analyze,cy pres,3,5.4366666666666665
762,suite,discrete,beat,browbeat,0,4.846666666666667
763,trim,grim,swam,synonym,2,5.0
764,board,seared,record,ward,1,3.9166666666666665
765,tabbouleh,label,able,enable,0,5.166666666666667
766,break,talk,cake,awake,1,2.5533333333333332
767,take,rock,block,stock,0,2.61
768,all,ball,call,tell,3,1.4033333333333333
769,paste,haste,waste,test,3,3.78
770,maxi,waxy,braxy,taxer,3,7.43
771,tree,be,sea,to,3,1.3733333333333333
772,touch,speech,reach,breach,0,3.2466666666666666
773,deam,beam,dream,time,3,4.21
774,care,tier,bear,air,1,3.1666666666666665
775,bone,telefon,stone,zone,1,4.86
776,vision,decision,televison,provision,2,5.286666666666667
777,well,tool,dwell,cell,1,3.103333333333333
778,pen,again,turn,then,2,1.9766666666666666
779,menace,venice,tonus,denis,2,5.253333333333334
780,best,manifest,taste,rest,2,2.9466666666666668
781,then,one,run,man,0,1.1666666666666667
782,kumbaya,a,ca,though,3,3.9
783,there,care,air,bear,0,1.92
784,again,pen,than,hen,2,2.75
785,their,air,bear,care,0,2.1599999999999997
786,those,ease,disease,cheese,0,2.986666666666667
787,sic,trick,thilk,stick,2,5.2
788,pin,begin,in,thane,3,3.4299999999999997
789,thong,bring,cling,ring,0,3.5766666666666667
790,sink,thank,link,drink,1,2.746666666666666
791,thud,bluebird,word,bird,0,3.733333333333333
792,thus,miss,abyss,bliss,0,3.6133333333333333
793,go,show,blow,the,3,1.0999999999999996
794,set,get,bet,throat,3,2.1266666666666665
795,be,sea,through,tree,2,1.9433333333333334
796,untidy,friday,today,heidi,2,4.973333333333333
797,by,lie,to,i,2,0.61
798,recital,turtle,entitle,vital,1,4.776666666666666
799,tea,through,blue,into,0,2.19
800,tidy,away,day,way,0,2.08
801,show,go,blow,to,3,1.1433333333333333
802,blow,show,go,tamari,3,3.5933333333333333
803,bite,light,tenet,right,2,3.1633333333333336
804,through,to,to,blue,1,0.8966666666666671
805,rule,tell,school,pool,1,2.32
806,teeth,youth,truth,uncouth,0,3.6533333333333338
807,stop,tap,shop,drop,1,2.6633333333333336
808,anecdotal,title,motile,boatel,1,6.043333333333334
809,such,clutch,much,teach,3,2.6666666666666665
810,brown,down,around,turn,3,2.0166666666666666
811,fein,vein,plane,troon,3,6.573333333333333
812,program,lamb,trim,ram,2,3.89
813,cavil,gravel,travail,unravel,2,5.836666666666667
814,key,sea,be,true,3,1.9733333333333334
815,treble,bubble,rubble,double,0,4.4433333333333325
816,tree,to,through,blue,0,1.7333333333333336
817,tryst,robust,bust,thrust,0,4.903333333333333
818,advice,ice,device,twiss,3,4.763333333333333
819,lie,by,tree,i,2,1.4466666666666665
820,burn,concern,tone,fern,2,3.85
821,stereotype,pipe,archetype,top,3,4.3
822,bigly,snugly,aglow,fugly,2,7.156666666666667
823,crinkle,truncal,crunkle,ankle,3,7.383333333333334
824,wonder,blunder,thunder,endow,3,4.6866666666666665
825,induced and,stand,hand,land,0,4.0566666666666675
826,junot,lunet,eunet,unite,3,8.056666666666667
827,will,mill,bill,entail,3,3.4033333333333338
828,makeup,setup,cup,app,3,4.416666666666667
829,abuse,obtuse,yes,loose,2,3.496666666666666
830,cherry,vary,dictionary,arbitrary,1,4.683333333333334
831,millage,spillage,volage,pillage,2,7.78
832,rejoice,vice,royce,choice,1,4.053333333333334
833,his hut,vies et,izzat,revisit,1,7.773333333333333
834,date,rate,white,state,2,2.783333333333333
835,work,take,awake,break,0,1.9933333333333332
836,rock,stock,block,work,3,2.723333333333333
837,taunt,wont,shant,savant,1,6.18
838,clause,wise,faux pas,cause,1,4.906666666666667
839,wish,squash,panache,posh,0,4.48
840,taste,paste,haste,west,3,3.8333333333333335
841,scotch,notch,crotch,which,3,3.82
842,witty,daughter,mater,imprimatur,0,5.29
843,woe,day,lay,away,0,2.6466666666666665
844,be,way,sea,tree,1,1.7866666666666664
845,work,fleek,seek,unique,0,4.429999999999999
846,war,care,air,bear,0,2.37
847,whether,together,leather,whether,0,2.8466666666666662
848,heading,bedding,reading,wording,3,4.483333333333333
849,seek,fleek,work,unique,2,4.429999999999999
850,date,state,white,rate,2,2.783333333333333
851,welkom,welkom,unwelcome,hell come,0,8.396666666666667
852,infer,defer,way,confer,2,4.553333333333334
853,cell,spell,dwell,will,3,2.943333333333333
854,best,waste,test,manifest,1,3.0966666666666662
855,bet,white,set,get,1,1.9366666666666665
856,cut,nut,that,white,3,2.0733333333333333
857,appeal,seal,deal,well,3,2.703333333333333
858,one,begin,in,pin,0,1.8699999999999999
859,air,care,bear,war,3,2.37
860,switch,pitch,watch,niche,2,3.6366666666666667
861,file,well,style,trial,1,2.613333333333333
862,right,light,bite,whet,3,3.0700000000000003
863,through,blue,hi,to,2,1.4400000000000004
864,lie,by,i,way,3,1.0233333333333332
865,backslide,word,side,abide,1,4.09
866,life,rife,whiff,strife,2,4.346666666666667
867,child,mild,world,idlewild,2,3.7600000000000002
868,well,bill,mill,still,0,2.3033333333333332
869,one,in,begin,pin,0,1.8699999999999999
870,mind,bind,wound,find,2,2.84
871,lindo,lindow,indo,wonder,3,7.666666666666667
872,design,sign,one,line,2,2.27
873,reenter,one-two,printer,splinter,1,6.456666666666667
874,fire,inspire,dire,war,3,3.483333333333333
875,was,arise,rise,analyze,0,3.186666666666666
876,wash,fish,dish,catfish,0,3.643333333333333
877,pith,smith,worth,myth,2,4.246666666666667
878,about,out,with-it,route,2,3.5666666666666664
879,policewoman,gentlewoman,women,chairwoman,2,5.2700000000000005
880,window,thunder,under,blunder,0,3.5199999999999996
881,bird,absurd,bluebird,wood,3,3.896666666666667
882,framework,network,jerk,wake,3,3.693333333333333
883,underworld,whirled,netherworld,wild,3,5.599999999999999
884,hurry,wire,flurry,curry,1,3.99
885,guard,card,regard,yarde,3,4.829999999999999
886,cell,dwell,yule,well,2,3.6133333333333333
887,yacht,bet,set,get,0,2.4633333333333334
888,to,blue,through,u,3,3.346666666666667
889,among,lung,tongue,yang,3,3.6
890,year,war,for,ensure,0,2.1333333333333333
891,nero,superhero,zorro,hero,2,5.496666666666667
892,through,to,blue,z,3,3.346666666666667
